#"Step","Time (ps)","Temperature (K)","Speed (ns/day)"
5000,10.000000000000009,298.245036700034,0
10000,19.999999999999794,299.60822438867507,486
15000,29.99999999999425,300.1863990388732,486
20000,40.00000000000292,301.5754774546799,485
25000,50.00000000001514,302.2324740026967,484
30000,60.00000000002736,301.21258718570476,485
35000,70.00000000001826,299.0486884088447,485
40000,79.99999999999496,303.5131032154739,485
45000,89.99999999997165,299.27765883628075,485
50000,99.99999999994834,302.84429996523136,485
55000,109.99999999992504,299.2821692618502,484
60000,119.99999999990173,301.97462800764464,483
65000,129.99999999989262,301.3251709455063,482
70000,139.99999999994037,300.2553156883825,481
75000,149.99999999998812,303.3430115296623,481
80000,160.00000000003587,301.55184194029897,481
85000,170.00000000008362,299.4265470999302,481
90000,180.00000000013137,301.7525337682091,481
95000,190.0000000001791,302.16278350566324,480
100000,200.00000000022686,300.8534113848456,480
105000,210.0000000002746,304.4140165031077,480
110000,220.00000000032236,302.60297008733795,480
115000,230.0000000003701,300.01962384245087,479
120000,240.00000000041786,299.9005176535171,479
125000,250.0000000004656,299.2228704315698,479
130000,260.00000000051335,298.85465166964246,479
135000,270.0000000005611,301.6777137675869,479
140000,280.00000000060885,299.1373492251849,479
145000,290.0000000006566,301.76409726121307,478
150000,300.00000000070435,300.37117171771473,478
155000,310.0000000007521,302.38918918130486,478
160000,320.00000000079984,301.04326934741727,478
165000,330.0000000008476,300.9887462618575,478
170000,340.00000000089534,300.8598895941193,478
175000,350.0000000009431,299.6803248679981,478
180000,360.00000000099084,299.39033103579925,478
185000,370.0000000010386,300.87348720061533,478
190000,380.00000000108633,300.94669317640137,478
195000,390.0000000011341,301.7525558781383,478
200000,400.00000000118183,301.7888603819863,478
205000,410.0000000012296,301.0106793116853,477
210000,420.00000000127733,302.6683933680239,477
215000,430.0000000013251,301.68476683502143,477
220000,440.0000000013728,299.3975830925972,477
225000,450.0000000014206,302.3091733473061,477
230000,460.0000000014683,301.2315132851529,477
235000,470.00000000151607,301.5868419583206,477
240000,480.0000000015638,299.1861679489951,477
245000,490.00000000161157,298.42467987528676,477
250000,500.0000000016593,302.548601771283,477
255000,510.00000000170706,299.24670493531414,477
260000,520.0000000015274,300.4613360092447,477
265000,530.0000000012909,300.4534648744274,477
270000,540.0000000010544,300.94598565866505,477
275000,550.000000000818,300.19524301057794,477
280000,560.0000000005815,300.47714460866695,477
285000,570.000000000345,300.4221572145926,477
290000,580.0000000001086,303.2011321135888,477
295000,589.9999999998721,299.88809187327195,477
300000,599.9999999996356,301.01625101385923,477
305000,609.9999999993992,297.5980117301144,477
310000,619.9999999991627,300.4995861868677,476
315000,629.9999999989262,300.53303850984094,476
320000,639.9999999986898,301.16144691932203,476
325000,649.9999999984533,305.4734358736198,476
330000,659.9999999982168,299.1203245796532,476
335000,669.9999999979804,299.3948414613687,476
